    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  COGhosts,   THREE_MODULES,   18,   484.9000,   792.4320,       80.0,     4730.0,       79.2,    48490.0,     85679700.0,   792.4320
  COGhosts,   THREE_MODULES,   19,   649.6000,  1159.5218,       70.0,     7040.0,      116.0,    64960.0,    175302600.0,  1159.5218
  COGhosts, THREE_MULTITASK,    0,  2126.0000,  1653.0278,      190.0,     7430.0,      165.3,   212600.0,    722505200.0,  1653.0278
  COGhosts, THREE_MULTITASK,    1,  1781.2000,  1928.5973,      190.0,     9580.0,      192.9,   178120.0,    685496600.0,  1928.5973
  COGhosts, THREE_MULTITASK,    2,  1495.1000,  1852.2460,      170.0,     8530.0,      185.2,   149510.0,    563183100.0,  1852.2460
  COGhosts, THREE_MULTITASK,    3,  2434.6000,  2487.2903,      110.0,    12030.0,      248.7,   243460.0,   1205202400.0,  2487.2903
  COGhosts, THREE_MULTITASK,    4,  2283.8000,  2746.1590,      190.0,    17720.0,      274.6,   228380.0,   1268171800.0,  2746.1590
  COGhosts, THREE_MULTITASK,    5,  1498.5000,  1672.2472,      120.0,     6480.0,      167.2,   149850.0,    501394900.0,  1672.2472
  COGhosts, THREE_MULTITASK,    6,  1543.6000,  2863.2769,       80.0,    12810.0,      286.3,   154360.0,   1049907200.0,  2863.2769
  COGhosts, THREE_MULTITASK,    7,   877.9000,  1416.4198,       70.0,     7300.0,      141.6,    87790.0,    275689100.0,  1416.4198
  COGhosts, THREE_MULTITASK,    8,  2821.7000,  2341.5734,      170.0,     9880.0,      234.2,   282170.0,   1339012700.0,  2341.5734
  COGhosts, THREE_MULTITASK,    9,  3164.3000,  2095.9505,      160.0,     8240.0,      209.6,   316430.0,   1436187300.0,  2095.9505
  COGhosts, THREE_MULTITASK,   10,   471.1000,   565.1904,       70.0,     3790.0,       56.5,    47110.0,     53818100.0,   565.1904
  COGhosts, THREE_MULTITASK,   11,  3696.1000,  3065.3996,      180.0,    13840.0,      306.5,   369610.0,   2296386300.0,  3065.3996
  COGhosts, THREE_MULTITASK,   12,  4683.3000,  3798.7808,      190.0,    16210.0,      379.9,   468330.0,   3621972700.0,  3798.7808
  COGhosts, THREE_MULTITASK,   13,  3586.7000,  3174.0224,       70.0,    16020.0,      317.4,   358670.0,   2283809100.0,  3174.0224
  COGhosts, THREE_MULTITASK,   14,  1169.7000,  1358.5736,       70.0,     6490.0,      135.9,   116970.0,    319546300.0,  1358.5736
  COGhosts, THREE_MULTITASK,   15,  3549.0000,  2195.9957,      190.0,    12390.0,      219.6,   354900.0,   1736957400.0,  2195.9957
  COGhosts, THREE_MULTITASK,   16,   865.1000,   967.3942,       70.0,     4040.0,       96.7,    86510.0,    167489100.0,   967.3942
  COGhosts, THREE_MULTITASK,   17,  1330.0000,  1750.0551,      190.0,     9080.0,      175.0,   133000.0,    480096600.0,  1750.0551
  COGhosts, THREE_MULTITASK,   18,  2057.6000,  2602.6110,       70.0,    11220.0,      260.3,   205760.0,   1093956600.0,  2602.6110
  COGhosts, THREE_MULTITASK,   19,  1512.9000,  1248.5299,       80.0,     5350.0,      124.9,   151290.0,    383210500.0,  1248.5299
  COGhosts,             MMD,    0,   407.0000,  1241.8408,       70.0,    11380.0,      124.2,    40700.0,    169239600.0,  1241.8408
  COGhosts,             MMD,    1,   229.2000,   563.0305,       70.0,     4810.0,       56.3,    22920.0,     36636600.0,   563.0305
  COGhosts,             MMD,    2,  2125.1000,  1896.8781,      100.0,     8510.0,      189.7,   212510.0,    807821500.0,  1896.8781
  COGhosts,             MMD,    3,   794.3000,  1312.3556,      110.0,    11390.0,      131.2,    79430.0,    233596700.0,  1312.3556
  COGhosts,             MMD,    4,   370.6000,   786.7499,       70.0,     5260.0,       78.7,    37060.0,     75013000.0,   786.7499
  COGhosts,             MMD,    5,   622.2000,   584.1035,      200.0,     3140.0,       58.4,    62220.0,     72489800.0,   584.1035
  COGhosts,             MMD,    6,   880.6000,  1305.8685,      140.0,     6280.0,      130.6,    88060.0,    246369600.0,  1305.8685
  COGhosts,             MMD,    7,  1165.1000,  1474.8583,       70.0,     6470.0,      147.5,   116510.0,    351091300.0,  1474.8583
  COGhosts,             MMD,    8,  1746.4000,  1898.9607,       70.0,     8850.0,      189.9,   174640.0,    661990400.0,  1898.9607
  COGhosts,             MMD,    9,   242.1000,   489.6820,       70.0,     4520.0,       49.0,    24210.0,     29600300.0,   489.6820
  COGhosts,             MMD,   10,   666.6000,  1137.0236,       70.0,     6640.0,      113.7,    66660.0,    172425000.0,  1137.0236
  COGhosts,             MMD,   11,   412.5000,   818.4925,       50.0,     5770.0,       81.8,    41250.0,     83338700.0,   818.4925
  COGhosts,             MMD,   12,   500.9000,   712.3813,      190.0,     5740.0,       71.2,    50090.0,     75331300.0,   712.3813
  COGhosts,             MMD,   13,   200.3000,   451.3357,       30.0,     3310.0,       45.1,    20030.0,     24178700.0,   451.3357
  COGhosts,             MMD,   14,  1781.1000,  1737.5444,      140.0,     8980.0,      173.8,   178110.0,    616118700.0,  1737.5444
  COGhosts,             MMD,   15,   161.5000,   148.4082,       50.0,     1550.0,       14.8,    16150.0,      4788700.0,   148.4082
  COGhosts,             MMD,   16,   430.3000,   403.1529,       90.0,     2320.0,       40.3,    43030.0,     34606500.0,   403.1529
  COGhosts,             MMD,   17,   359.7000,   346.5194,       80.0,     3460.0,       34.7,    35970.0,     24825900.0,   346.5194
  COGhosts,             MMD,   18,   268.9000,   598.1502,       30.0,     4660.0,       59.8,    26890.0,     42651300.0,   598.1502
  COGhosts,             MMD,   19,   246.1000,   282.3705,       70.0,     2520.0,       28.2,    24610.0,     13950100.0,   282.3705
