    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  COGhosts, THREE_MULTITASK,    7,   835.2000,  1144.4115,       70.0,     5230.0,      114.4,    83520.0,    199414000.0,  1144.4115
  COGhosts, THREE_MULTITASK,    8,  4116.1000,  3310.1969,       70.0,    16590.0,      331.0,   411610.0,   2779010900.0,  3310.1969
  COGhosts, THREE_MULTITASK,    9,  3358.6000,  1752.4811,      430.0,     7910.0,      175.2,   335860.0,   1432067200.0,  1752.4811
  COGhosts, THREE_MULTITASK,   10,   412.9000,   463.8166,       70.0,     3430.0,       46.4,    41290.0,     38346100.0,   463.8166
  COGhosts, THREE_MULTITASK,   11,  4077.7000,  2396.4321,      620.0,    11440.0,      239.6,   407770.0,   2231309500.0,  2396.4321
  COGhosts, THREE_MULTITASK,   12,  3943.8000,  2621.6772,      360.0,    13630.0,      262.2,   394380.0,   2235801800.0,  2621.6772
  COGhosts, THREE_MULTITASK,   13,  3639.4000,  2775.0802,      180.0,    19560.0,      277.5,   363940.0,   2086929200.0,  2775.0802
  COGhosts, THREE_MULTITASK,   14,  1466.9000,  1628.0240,       70.0,     8960.0,      162.8,   146690.0,    477575300.0,  1628.0240
  COGhosts, THREE_MULTITASK,   15,  3839.3000,  2576.8261,       70.0,    12300.0,      257.7,   383930.0,   2131385700.0,  2576.8261
  COGhosts, THREE_MULTITASK,   16,   851.4000,  1121.0944,      130.0,     6530.0,      112.1,    85140.0,    196916600.0,  1121.0944
  COGhosts, THREE_MULTITASK,   17,  1155.1000,  1405.8669,      150.0,     5490.0,      140.6,   115510.0,    329095300.0,  1405.8669
  COGhosts, THREE_MULTITASK,   18,  2975.1000,  3094.5366,       80.0,    13780.0,      309.5,   297510.0,   1833161500.0,  3094.5366
  COGhosts, THREE_MULTITASK,   19,  1600.9000,  1355.6884,      130.0,     7860.0,      135.6,   160090.0,    438239300.0,  1355.6884
  COGhosts,             MMD,    0,   444.1000,   768.3829,       70.0,     4950.0,       76.8,    44410.0,     78173300.0,   768.3829
  COGhosts,             MMD,    1,   368.2000,   563.5249,       70.0,     3920.0,       56.4,    36820.0,     44995600.0,   563.5249
  COGhosts,             MMD,    2,  2235.6000,  1740.6972,       70.0,     8140.0,      174.1,   223560.0,    799763400.0,  1740.6972
  COGhosts,             MMD,    3,  1143.9000,  1325.5545,      100.0,     5800.0,      132.6,   114390.0,    304803100.0,  1325.5545
  COGhosts,             MMD,    4,  1138.7000,  1810.7533,       70.0,     8760.0,      181.1,   113870.0,    454267700.0,  1810.7533
  COGhosts,             MMD,    5,   878.7000,  1110.3996,      210.0,     6620.0,      111.0,    87870.0,    199277100.0,  1110.3996
  COGhosts,             MMD,    6,  1084.3000,  1366.4000,       60.0,     6500.0,      136.6,   108430.0,    302408500.0,  1366.4000
  COGhosts,             MMD,    7,  1305.4000,  1417.8291,       70.0,     5850.0,      141.8,   130540.0,    369420600.0,  1417.8291
  COGhosts,             MMD,    8,  1890.5000,  2084.1956,       80.0,     9280.0,      208.4,   189050.0,    787442300.0,  2084.1956
  COGhosts,             MMD,    9,   561.2000,  1365.8558,       70.0,     8980.0,      136.6,    56120.0,    216185200.0,  1365.8558
  COGhosts,             MMD,   10,  1141.2000,  1612.0539,       80.0,     7850.0,      161.2,   114120.0,    387506800.0,  1612.0539
  COGhosts,             MMD,   11,   570.9000,  1054.4816,       80.0,     7380.0,      105.4,    57090.0,    142673900.0,  1054.4816
  COGhosts,             MMD,   12,   554.2000,  1258.8813,       70.0,    11520.0,      125.9,    55420.0,    187607200.0,  1258.8813
  COGhosts,             MMD,   13,   487.7000,  1089.1539,       30.0,     8580.0,      108.9,    48770.0,    141224500.0,  1089.1539
  COGhosts,             MMD,   14,  2172.9000,  1763.0978,      140.0,     9130.0,      176.3,   217290.0,    779892300.0,  1763.0978
  COGhosts,             MMD,   15,   310.3000,   827.0862,       30.0,     7380.0,       82.7,    31030.0,     77351700.0,   827.0862
  COGhosts,             MMD,   16,   694.2000,   874.8682,       70.0,     5680.0,       87.5,    69420.0,    123965400.0,   874.8682
  COGhosts,             MMD,   17,   396.5000,   844.2621,       70.0,     5900.0,       84.4,    39650.0,     86286300.0,   844.2621
  COGhosts,             MMD,   18,   449.1000,   736.9896,       50.0,     5740.0,       73.7,    44910.0,     73941300.0,   736.9896
  COGhosts,             MMD,   19,   398.5000,   768.1414,       10.0,     6510.0,       76.8,    39850.0,     74294300.0,   768.1414
